频道名称组,频道简称,频道名称,分组,索引号
CCTV15|CCTV-15|CCTV15音乐|CCTV-15音乐|CCTV音乐|CCTV-音乐|CCTV15HD|CCTV15-HD|CCTV15高清|CCTV-15高清,CCTV15,CCTV-15音乐,央视,1000150
CCTV16|CCTV-16|CCTV16奥林匹克|CCTV-16奥林匹克|CCTV奥林匹克|CCTV-奥林匹克|CCTV16HD|CCTV16-HD|CCTV16高清|CCTV-16高清,CCTV16,CCTV-16奥林匹克,央视,1000160
CCTV17|CCTV-17|CCTV17农业农村|CCTV-17农业农村|CCTV农业农村|CCTV-农业农村|CCTV17HD|CCTV17-HD|CCTV17高清|CCTV-17高清|CCTV-17农村农业,CCTV17,CCTV-17农业农村,央视,1000170
CCTV4K|CCTV-4K|CCTV4K50p|CCTV4K超高清|CCTV-4K超高清|CCTV4K-UHD,CCTV4K,CCTV4K超高清,央视,1004010
CCTV4KSDR|CCTV4K-SDR|CCTVSDR|CCTV4K(SDR),CCTV4KSDR,CCTV4K(SDR),央视,1004011
CCTV4KHDR|CCTV4K-HDR|CCTVHDR|CCTV4K(HDR),CCTV4KHDR,CCTV4K(HDR),央视,1004012
CCTV164K|CCTV16-4K|CCTV16奥林匹克4K|CCTV-16奥林匹克4K|CCTV奥林匹克4K|CCTV-奥林匹克4K|CCTV16_4K,CCTV164K,CCTV16超高清,央视,1004160
CCTV164KSDR|CCTV164K-SDR|CCTV164K-SDR|CCTV164K(SDR),CCTV164KSDR,CCTV164K(SDR),央视,1004161
CCTV164KHDR|CCTV164K-HDR|CCTV164K-HDR|CCTV164K(HDR),CCTV164KHDR,CCTV164K(HDR),央视,1004162
CCTV8K|CCTV-8K,CCTV8K,CCTV8K,央视,1008010
CCTV1SD,CCTV1SD,CCTV-1综合SD,央视,1001010
CCTV2SD,CCTV2SD,CCTV-2财经SD,央视,1001020
CCTV3SD,CCTV3SD,CCTV-3综艺SD,央视,1001030
CCTV4SD,CCTV4SD,CCTV-4中文国际SD,央视,1001040
CCTV4欧洲SD,CCTV4欧洲SD,CCTV-4中文国际欧洲SD,央视,1001041
CCTV4美洲SD,CCTV4美洲SD,CCTV-4中文国际美洲SD,央视,1001042
CCTV5SD,CCTV5SD,CCTV-5体育SD,央视,1001050
CCTV5+SD,CCTV5+SD,CCTV-5+体育赛事SD,央视,1001051
CCTV6SD,CCTV6SD,CCTV-6电影SD,央视,1001060
CCTV7SD,CCTV7SD,CCTV-7国防军事SD,央视,1001070
CCTV8SD,CCTV8SD,CCTV-8电视剧SD,央视,1001080
CCTV9SD,CCTV9SD,CCTV-9纪录SD,央视,1001090
CCTV10SD,CCTV10SD,CCTV-10科教SD,央视,1001100
CCTV11SD,CCTV11SD,CCTV-11戏曲SD,央视,1001110
CCTV12SD,CCTV12SD,CCTV-12社会与法SD,央视,1001120
CCTV13SD,CCTV13SD,CCTV-13新闻SD,央视,1001130
CCTV14SD,CCTV14SD,CCTV-14少儿SD,央视,1001140
CCTV15SD,CCTV15SD,CCTV-15音乐SD,央视,1001150
CCTV16SD,CCTV16SD,CCTV-16奥林匹克SD,央视,1001160
CCTV17SD,CCTV17SD,CCTV-17农业农村SD,央视,1001170
CHC高清电影,CHC高清电影,CHC高清电影,付费,1010101
CHC动作电影|CHC-动作电影,CHC动作电影,CHC动作电影,付费,1010102
CHC家庭影院|CHC-家庭影院,CHC家庭影院,CHC家庭影院,付费,1010103
CHC影迷电影|CHC-影迷电影,CHC影迷电影,CHC影迷电影,付费,1010104
兵器科技|CCTV兵器科技|CCTV-兵器科技,兵器科技,CCTV-兵器科技,付费,1020101
第一剧场|CCTV第一剧场|CCTV-第一剧场,第一剧场,CCTV-第一剧场,付费,1020102
电视指南|CCTV电视指南|CCTV-电视指南,电视指南,CCTV-电视指南,付费,1020103
风云剧场|CCTV风云剧场|CCTV-风云剧场,风云剧场,CCTV-风云剧场,付费,1020104
风云音乐|CCTV风云音乐|CCTV-风云音乐,风云音乐,CCTV-风云音乐,付费,1020105
风云足球|CCTV风云足球|CCTV-风云足球,风云足球,CCTV-风云足球,付费,1020106
高尔夫网球|CCTV高尔夫网球|CCTV-高尔夫网球|CCTV高网频道|CCTV-高尔夫·网球|CCTV央视网球|高网|高尔夫|高尔夫和网球|高网频道,高尔夫网球,CCTV-高尔夫网球,付费,1020107
怀旧剧场|CCTV怀旧剧场|CCTV-怀旧剧场,怀旧剧场,CCTV-怀旧剧场,付费,1020108
女性时尚|CCTV女性时尚|CCTV-女性时尚,女性时尚,CCTV-女性时尚,付费,1020109
世界地理|CCTV世界地理|CCTV-世界地理,世界地理,CCTV-世界地理,付费,1020110
卫生健康|CCTV卫生健康|CCTV-卫生健康,卫生健康,CCTV-卫生健康,付费,1020111
文化精品|CCTV文化精品|CCTV-文化精品|CCTV央视文化精品,文化精品,CCTV-文化精品,付费,1020112
央视台球|CCTV央视台球|CCTV-央视台球,央视台球,CCTV-央视台球,付费,1020113
央视精品|CCTV央视精品|CCTV-央视精品,央视精品,CCTV-央视精品,付费,1020114
电视指南|CCTV电视指南|CCTV-电视指南,电视指南,CCTV-电视指南,付费,1020115
发现之旅|中央新影发现之旅|中央新影-发现之旅,发现之旅,中央新影-发现之旅,付费,1030101
老故事|中央新影老故事|中央新影-老故事,老故事,中央新影-老故事,付费,1030102
中学生|中央新影中学生|中央新影-中学生|中学生频道,中学生,中央新影-中学生,数字,1030103
新科动漫,新科动漫,新科动漫,付费,1200303
优优宝贝,优优宝贝,优优宝贝,付费,1200304
证券资讯,证券资讯,证券资讯,付费,1200305
CGTN|CGTN英语|CGTN-英语|CGTNHD,CGTN,CGTN英语,国际,1040101
CGTN Documentary|CGTN记录|CGTN-纪录|CGTN外语纪录|CGTN外语纪录|CGTN英文纪录|CGTN纪录HD|CGTN纪录片,CGTN纪录,CGTN纪录,国际,1040102
CGTN Español|CGTN西语|CGTN-西语|CGTN西班牙语|CGTN西语HD|CGTN西语频道,CGTN西语,CGTN西班牙语,国际,1040103
CGTN Français|CGTN法语|CGTN-法语|CGTN法语HD|CGTN法语频道,CGTN法语,CGTN法语,国际,1040104
CGTN العربية|CGTN阿语|CGTN-阿语|CGTN阿拉伯语|CGTN Arabic|CGTN阿语HD,CGTN阿语,CGTN阿拉伯语,国际,1040105
CGTN Русский|CGTN俄语|CGTN-俄语|CGTN俄语HD,CGTN俄语,CGTN俄语,国际,1040106
CETV|CETV早期教育,CETV,CETV早期教育,国教,1050100
CETV1|CETV-1|中国教育1|中国教育-1|CETV1HD|CETV-1综合教育,CETV1,CETV-1综合教育,国教,1050101
CETV2|CETV-2|中国教育2|中国教育-2|CETV2HD|CETV-2空中课堂,CETV2,CETV-2空中课堂,国教,1050102
CETV3|CETV-3|中国教育3|中国教育-3|CETV3HD|CETV-3北京科教,CETV3,CETV-3北京科教,国教,1050103
CETV4|CETV-4|中国教育4|中国教育-4|CETV4HD|CETV-4职业教育,CETV4,CETV-4职业教育,国教,1050104
湖南卫视|湖南卫视高清|湖南卫视HD,湖南卫视,湖南卫视,卫视,2000010
浙江卫视|浙江卫视高清|浙江卫视HD,浙江卫视,浙江卫视,卫视,2000020
江苏卫视|江苏卫视高清|江苏卫视HD,江苏卫视,江苏卫视,卫视,2000030
北京卫视|北京卫视高清|北京卫视HD,北京卫视,北京卫视,卫视,2000040
东方卫视|东方卫视高清|东方卫视HD,东方卫视,东方卫视,卫视,2000050
安徽卫视|安徽卫视高清|安徽卫视HD,安徽卫视,安徽卫视,卫视,2000060
广东卫视|广东卫视高清|广东卫视HD,广东卫视,广东卫视,卫视,2000070
深圳卫视|深圳卫视高清|深圳卫视HD,深圳卫视,深圳卫视,卫视,2000080
辽宁卫视|辽宁卫视高清|辽宁卫视HD,辽宁卫视,辽宁卫视,卫视,2000090
山东卫视|山东卫视高清|山东卫视HD,山东卫视,山东卫视,卫视,2000100
山东教育卫视|山东教育卫视高清|山东教育卫视HD,山东教育卫视,山东教育卫视,卫视,2000101
天津卫视|天津卫视高清|天津卫视HD,天津卫视,天津卫视,卫视,2000110
重庆卫视|重庆卫视高清|重庆卫视HD,重庆卫视,重庆卫视,卫视,2000120
东南卫视|东南卫视高清|东南卫视HD,东南卫视,东南卫视,卫视,2000130
河北卫视|河北卫视高清|河北卫视HD,河北卫视,河北卫视,卫视,2000140
河南卫视|河南卫视高清|河南卫视HD,河南卫视,河南卫视,卫视,2000150
湖北卫视|湖北卫视高清|湖北卫视HD,湖北卫视,湖北卫视,卫视,2000160
陕西卫视|陕西卫视高清|陕西卫视HD,陕西卫视,陕西卫视,卫视,2000170
四川卫视|四川卫视高清|四川卫视HD,四川卫视,四川卫视,卫视,2000180
海南卫视|海南卫视高清|海南卫视HD,海南卫视,海南卫视,卫视,2000190
甘肃卫视|甘肃卫视高清|甘肃卫视HD,甘肃卫视,甘肃卫视,卫视,2000200
广西卫视|广西卫视高清|广西卫视HD,广西卫视,广西卫视,卫视,2000210
贵州卫视|贵州卫视高清|贵州卫视HD,贵州卫视,贵州卫视,卫视,2000220
黑龙江卫视|黑龙江卫视高清|黑龙江卫视HD,黑龙江卫视,黑龙江卫视,卫视,2000230
江西卫视|江西卫视高清|江西卫视HD,江西卫视,江西卫视,卫视,2000240
吉林卫视|吉林卫视高清|吉林卫视HD,吉林卫视,吉林卫视,卫视,2000250
内蒙古卫视|内蒙古卫视高清|内蒙古卫视HD,内蒙古卫视,内蒙古卫视,卫视,2000260
宁夏卫视|宁夏卫视高清|宁夏卫视HD,宁夏卫视,宁夏卫视,卫视,2000270
山西卫视|山西卫视高清|山西卫视HD,山西卫视,山西卫视,卫视,2000280
新疆卫视|新疆卫视高清|新疆卫视HD,新疆卫视,新疆卫视,卫视,2000290
云南卫视|云南卫视高清|云南卫视HD,云南卫视,云南卫视,卫视,2000300
青海卫视|青海卫视高清|青海卫视HD,青海卫视,青海卫视,卫视,2000310
西藏卫视|西藏卫视高清|西藏卫视HD,西藏卫视,西藏卫视,卫视,2000320
西藏卫视藏语,西藏卫视藏语,西藏卫视藏语,卫视,2000321
兵团卫视|兵团卫视高清|兵团卫视HD,兵团卫视,兵团卫视,卫视,2000330
黄河卫视|黄河卫视高清|黄河卫视HD,黄河卫视,黄河卫视,卫视,2000340
康巴卫视|康巴卫视高清|康巴卫视HD,康巴卫视,康巴卫视,卫视,2000350
三沙卫视|三沙卫视高清|三沙卫视HD,三沙卫视,三沙卫视,卫视,2000360
大湾区卫视|大湾区卫视高清|大湾区卫视HD,大湾区卫视,大湾区卫视,卫视,2000370
厦门卫视|厦门卫视高清|厦门卫视HD,厦门卫视,厦门卫视,卫视,2000380
延边卫视|延边卫视高清|延边卫视HD,延边卫视,延边卫视,卫视,2000390
安多卫视,安多卫视,安多卫视,卫视,2000400
湖南卫视4K|湖南卫视4K超高清,湖南卫视4K,湖南卫视4K,卫视,2004010
湖南卫视SDR|湖南卫视4K（SDR）,湖南卫视4K（SDR）,湖南卫视4K（SDR）,卫视,2004011
湖南卫视HDR|湖南卫视4K（HDR）,湖南卫视4K（HDR）,湖南卫视4K（HDR）,卫视,2004012
浙江卫视4K|浙江卫视4K超高清,浙江卫视4K,浙江卫视4K,卫视,2004020
浙江卫视SDR|浙江卫视4K（SDR）,浙江卫视4K（SDR）,浙江卫视4K（SDR）,卫视,2004021
浙江卫视HDR|浙江卫视4K（HDR）,浙江卫视4K（HDR）,浙江卫视4K（HDR）,卫视,2004022
江苏卫视4K|江苏卫视4K超高清,江苏卫视4K,江苏卫视4K,卫视,2004030
江苏卫视SDR|江苏卫视4K（SDR）,江苏卫视4K（SDR）,江苏卫视4K（SDR）,卫视,2004031
江苏卫视HDR|江苏卫视4K（HDR）,江苏卫视4K（HDR）,江苏卫视4K（HDR）,卫视,2004032
北京卫视4K|北京卫视4K超高清,北京卫视4K,北京卫视4K,卫视,2004040
北京卫视SDR|北京卫视4K（SDR）,北京卫视4K（SDR）,北京卫视4K（SDR）,卫视,2004041
北京卫视HDR|北京卫视4K（HDR）,北京卫视4K（HDR）,北京卫视4K（HDR）,卫视,2004042
东方卫视4K|东方卫视4K超高清,东方卫视4K,东方卫视4K,卫视,2004050
东方卫视SDR|东方卫视4K（SDR）,东方卫视4K（SDR）,东方卫视4K（SDR）,卫视,2004051
东方卫视HDR|东方卫视4K（HDR）,东方卫视4K（HDR）,东方卫视4K（HDR）,卫视,2004052
广东卫视4K|广东卫视4K超高清,广东卫视4K,广东卫视4K,卫视,2004070
广东卫视SDR|广东卫视4K（SDR）,广东卫视4K（SDR）,广东卫视4K（SDR）,卫视,2004071
广东卫视HDR|广东卫视4K（HDR）,广东卫视4K（HDR）,广东卫视4K（HDR）,卫视,2004072
深圳卫视4K|深圳卫视4K超高清,深圳卫视4K,深圳卫视4K,卫视,2004080
深圳卫视SDR|深圳卫视4K（SDR）,深圳卫视4K（SDR）,深圳卫视4K（SDR）,卫视,2004081
深圳卫视HDR|深圳卫视4K（HDR）,深圳卫视4K（HDR）,深圳卫视4K（HDR）,卫视,2004082
山东卫视4K|山东卫视4K超高清,山东卫视4K,山东卫视4K,卫视,2004100
山东卫视SDR|山东卫视4K（SDR）,山东卫视4K（SDR）,山东卫视4K（SDR）,卫视,2004101
山东卫视HDR|山东卫视4K（HDR）,山东卫视4K（HDR）,山东卫视4K（HDR）,卫视,2004102
四川卫视4K|四川卫视4K超高清,四川卫视4K,四川卫视4K,卫视,2004180
四川卫视SDR|四川卫视4K（SDR）,四川卫视4K（SDR）,四川卫视4K（SDR）,卫视,2004181
四川卫视HDR|四川卫视4K（HDR）,四川卫视4K（HDR）,四川卫视4K（HDR）,卫视,2004182
凤凰中文|凤凰卫视|凤凰卫视中文台|凤凰卫视中文|凤凰中文台HD,凤凰中文,凤凰中文,港澳,3010101
凤凰资讯|凤凰资讯|凤凰卫视资讯台|凤凰卫视资讯|凤凰资讯台HD,凤凰资讯,凤凰资讯,港澳,3010102
凤凰香港|凤凰卫视香港台,凤凰香港,凤凰香港,港澳,3010103
凤凰电影|凤凰电影台|凤凰卫视电影台,凤凰电影,凤凰电影,港澳,3010104
爱上4K电影|华数爱上4K电影|华数爱电影|华数爱上4K,爱上4K电影,华数爱上4K电影,华数,4010100
经典电影|华数经典电影,经典电影,华数经典电影,华数,4010101
动作影院|华数动作影院,动作影院,华数动作影院,华数,4010102
喜剧影院|华数喜剧影院,喜剧影院,华数喜剧影院,华数,4010103
家庭影院|华数家庭影院,家庭影院,华数家庭影院,华数,4010104
星影|华数星影,星影,华数星影,华数,4010105
精彩影视|华数精彩影视|华数影视,精彩影视,华数精彩影视,华数,4010106
热播剧场|华数热播剧场,热播剧场,华数热播剧场,华数,4010107
古装剧场|华数古装剧场,古装剧场,华数古装剧场,华数,4010108
城市剧场|华数城市剧场,城市剧场,华数城市剧场,华数,4010109
军旅剧场|华数军旅剧场,军旅剧场,华数军旅剧场,华数,4010110
魅力时尚|华数魅力时尚,魅力时尚,华数魅力时尚,华数,4010111
少儿动画|华数少儿动画|华数动画1,少儿动画,华数少儿动画,华数,4010112
华数动画|华数卡通|华数动漫,华数动画,华数动画,华数,4010113
华数精选,华数精选,华数精选,华数,4010114
谍战剧场|华数谍战剧场,谍战剧场,华数谍战剧场,华数,4010115
怀旧电影|华数怀旧电影,怀旧电影,华数怀旧电影,华数,4010116
武侠剧场|华数武侠剧场,武侠剧场,华数武侠剧场,华数,4010117
iHOT爱谍战|HOT爱谍战|爱谍战专区,iHOT爱谍战,iHOT爱谍战,数字,4010201
iHOT爱动漫|HOT爱动漫|爱动漫专区,iHOT爱动漫,iHOT爱动漫,数字,4010202
iHOT爱都市|HOT爱都市|爱都市专区,iHOT爱都市,iHOT爱都市,数字,4010203
iHOT爱科幻|HOT爱科幻|爱科幻专区,iHOT爱科幻,iHOT爱科幻,数字,4010204
iHOT爱浪漫|HOT爱浪漫|爱浪漫专区,iHOT爱浪漫,iHOT爱浪漫,数字,4010205
iHOT爱历史|HOT爱历史|爱历史专区,iHOT爱历史,iHOT爱历史,数字,4010206
iHOT爱旅行|HOT爱旅行|爱旅行专区,iHOT爱旅行,iHOT爱旅行,数字,4010207
iHOT爱奇谈|HOT爱奇谈|爱奇谈专区,iHOT爱奇谈,iHOT爱奇谈,数字,4010208
iHOT爱赛车|HOT爱赛车|爱赛车专区,iHOT爱赛车,iHOT爱赛车,数字,4010209
iHOT爱体育|HOT爱体育|爱体育专区,iHOT爱体育,iHOT爱体育,数字,4010210
iHOT爱玩具|HOT爱玩具|爱玩具专区,iHOT爱玩具,iHOT爱玩具,数字,4010211
iHOT爱喜剧|HOT爱喜剧|爱喜剧专区|爱喜剧,iHOT爱喜剧,iHOT爱喜剧,数字,4010212
iHOT爱悬疑|HOT爱悬疑|爱悬疑专区,iHOT爱悬疑,iHOT爱悬疑,数字,4010213
iHOT爱幼教|HOT爱幼教|爱幼教专区,iHOT爱幼教,iHOT爱幼教,数字,4010214
iHOT爱院线|HOT爱院线|爱院线专区,iHOT爱院线,iHOT爱院线,数字,4010215
iHOT爱怀旧|HOT爱怀旧,iHOT爱怀旧,iHOT爱怀旧,数字,4010216
iHOT爱家庭|HOT爱家庭,iHOT爱家庭,iHOT爱家庭,数字,4010217
iHOT爱科学|HOT爱科学,iHOT爱科学,iHOT爱科学,数字,4010218
iHOT爱青春|HOT爱青春,iHOT爱青春,iHOT爱青春,数字,4010220
iHOT爱探索|HOT爱探索,iHOT爱探索,iHOT爱探索,数字,4010221
iHOT爱经典|HOT经典,iHOT爱经典,iHOT爱经典,数字,4010222
爱生活|爱生活高清专区,爱生活,爱生活高清专区,数字,4010522
爱宠宠物|爱宠宠物专区,爱宠宠物,爱宠宠物专区,数字,4010523
爱大剧,爱大剧,爱大剧,数字,4010524
爱上4K|爱上-4K|爱上4K专区,爱上4K,爱上4K,数字,4010525
重温经典|北京歌华重温经典|200,重温经典,重温经典,数字,4010300
四海钓鱼|北京四海钓鱼,四海钓鱼,北京四海钓鱼,数字,4010301
京视剧场|北京京视剧场,京视剧场,北京京视剧场,数字,4010302
弈坛春秋|北京弈坛春秋,弈坛春秋,北京弈坛春秋,数字,4010303
纪实科教|北京纪实科教,纪实科教,北京纪实科教,数字,4010304
DOXTV|北京音像世界,DOXTV,DOXTV,数字,4010305
卡酷少儿|北京卡酷少儿|KAKU少儿|北京KAKU少儿|卡酷动画|北京卡酷动画,卡酷少儿,北京卡酷少儿,数字,4010306
求索纪录|浙江求索纪录,求索纪录,浙江求索纪录,数字,4010307
求索科学|浙江求索科学,求索科学,浙江求索科学,数字,4010308
求索动物|浙江求索动物,求索动物,浙江求索动物,数字,4010309
电竞天堂|浙江电竞天堂,电竞天堂,浙江电竞天堂,数字,4010310
先锋乒羽|湖南先锋乒羽,先锋乒羽,湖南先锋乒羽,数字,4010311
快乐垂钓|湖南快乐垂钓,快乐垂钓,湖南快乐垂钓,数字,4010312
茶频道|湖南茶频道|茶,茶频道,湖南茶频道,数字,4010313
金鹰纪实|湖南金鹰纪实|金鹰纪实超清|金鹰纪实FHD,金鹰纪实,湖南金鹰纪实,数字,4010314
金鹰卡通|湖南金鹰卡通|金鹰卡通SD|金鹰卡通FHD,金鹰卡通,湖南金鹰卡通,数字,4010315
天元围棋|贵州天元围棋,天元围棋,贵州天元围棋,数字,4010316
梨园频道|河南梨园频道|梨园,梨园频道,河南梨园频道,数字,4010317
武术世界|河南武术世界,武术世界,河南武术世界,数字,4010318
文物宝库|河南文物宝库,文物宝库,河南文物宝库,数字,4010319
书画频道|山西书画频道|书画,书画频道,山西书画频道,数字,4010320
摄影频道|山西摄影频道|摄影,摄影频道,山西摄影频道,数字,4010321
国学频道|陕西国学频道|国学,国学频道,陕西国学频道,数字,4010322
中华特产|陕西中华特产,中华特产,陕西中华特产,数字,4010323
车迷频道|四川车迷频道|车迷,车迷频道,四川车迷频道,数字,4010324
彩民在线|天津彩民在线,彩民在线,天津彩民在线,数字,4010325
时代家居|天津时代家居,时代家居,天津时代家居,数字,4010326
时代出行|天津时代出行,时代出行,天津时代出行,数字,4010327
时代风尚|天津时代风尚,时代风尚,天津时代风尚,数字,4010328
百姓健康|天津百姓健康,百姓健康,天津百姓健康,数字,4010329
环球旅游|天津环球旅游,环球旅游,天津环球旅游,数字,4010330
财富天下|上海财富天下,财富天下,上海财富天下,数字,4010331
东方财经|上海东方财经,东方财经,上海东方财经,数字,4010332
法治天地|上海法治天地,法治天地,上海法治天地,数字,4010333
生活时尚|上海生活时尚,生活时尚,上海生活时尚,数字,4010334
都市剧场|上海都市剧场,都市剧场,上海都市剧场,数字,4010335
第一财经|上海第一财经,第一财经,上海第一财经,数字,4010336
游戏风云|上海游戏风云,游戏风云,上海游戏风云,数字,4010337
动漫秀场|上海动漫秀场,动漫秀场,上海动漫秀场,数字,4010338
上海乐游|上海乐游纪实|乐游,乐游,上海乐游,数字,4010339
欢笑剧场|上海欢笑剧场,欢笑剧场,上海欢笑剧场,数字,4010340
纪实人文|上海纪实人文,纪实人文,上海纪实人文,数字,4010341
金色学堂|上海金色学堂,金色学堂,上海金色学堂,数字,4010342
魅力足球|上海魅力足球,魅力足球,上海魅力足球,数字,4010343
新娱乐|上海新娱乐,新娱乐,新娱乐,数字,4010344
哈哈炫动|上海哈哈炫动,哈哈炫动,上海哈哈炫动,少儿,4010345
现代女性|广东现代女性,现代女性,广东现代女性,数字,4010346
嘉佳卡通|广东嘉佳卡通,嘉佳卡通,广东嘉佳卡通,少儿,4010347
优漫卡通|江苏优漫卡通,优漫卡通,江苏优漫卡通,少儿,4010348
早期教育|江苏早期教育,早期教育,江苏早期教育,数字,4010349
法律服务|天津法律服务,法律服务,天津法律服务,数字,4010350
青年学苑|天津青年学苑,青年学苑,天津青年学苑,数字,4010351
幼儿教育|央视幼儿教育,幼儿教育,央视幼儿教育,数字,4010501
央广健康,央广健康,央广健康,数字,4010502
中国天气,中国天气,中国天气,数字,4010503
中国交通,中国交通,中国交通,数字,4010504
少儿动漫,少儿动漫,少儿动漫,数字,4010505
光影,光影,光影,数字,4010506
环球奇观,环球奇观,环球奇观,数字,4010507
留学世界,留学世界,留学世界,数字,4010508
求索记录,求索记录,求索记录,数字,4010509
金色频道,金色频道,金色频道,数字,4010510
幸福彩台,幸福彩台,幸福彩台,数字,4010511
七彩戏剧,七彩戏剧,七彩戏剧,数字,4010512
极速汽车,极速汽车,极速汽车,数字,4010513
欢笑剧场4K|欢笑剧场SDR,欢笑剧场SDR,欢笑剧场SDR,数字,4010514
精彩推荐|精彩推荐高清,精彩推荐,精彩推荐,数字,4010515
睛彩竞技,睛彩竞技,睛彩竞技,数字,4010516
睛彩篮球,睛彩篮球,睛彩篮球,数字,4010517
睛彩羽毛球,睛彩篮球,睛彩篮球,数字,4010518
睛彩青少,睛彩青少,睛彩青少,数字,4010519
睛彩广场舞,睛彩广场舞,睛彩广场舞,数字,4010520
聚鲨精选|聚鲨环球精选,聚鲨精选,聚鲨环球精选,数字,4010521
好享购物,好享购物,好享购物,购物,8000101
央广购物,央广购物,央广购物,购物,8000102
中视购物|CCTV中视购物,中视购物,中视购物,购物,8000103
优购物,优购物,优购物,购物,8000104
家有购物,家有购物,家有购物,购物,8000105
