# 补充IP列表 - 原文件: 广东移动.txt
# 生成时间: 2026-05-28 17:17:17
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.10.0.x =====
# 已有IP: 70 个, 缺失IP: 184 个
# 规律: 固定端口 1025

0-83,rtp://239.10.0.83:1025
0-84,rtp://239.10.0.84:1025
0-85,rtp://239.10.0.85:1025
0-86,rtp://239.10.0.86:1025
0-90,rtp://239.10.0.90:1025
0-91,rtp://239.10.0.91:1025
0-92,rtp://239.10.0.92:1025
0-93,rtp://239.10.0.93:1025
0-94,rtp://239.10.0.94:1025
0-95,rtp://239.10.0.95:1025
0-96,rtp://239.10.0.96:1025
0-97,rtp://239.10.0.97:1025
0-98,rtp://239.10.0.98:1025
0-99,rtp://239.10.0.99:1025
0-100,rtp://239.10.0.100:1025
0-105,rtp://239.10.0.105:1025
0-106,rtp://239.10.0.106:1025
0-107,rtp://239.10.0.107:1025
0-108,rtp://239.10.0.108:1025
0-109,rtp://239.10.0.109:1025
0-110,rtp://239.10.0.110:1025
0-112,rtp://239.10.0.112:1025
0-116,rtp://239.10.0.116:1025
0-117,rtp://239.10.0.117:1025
0-118,rtp://239.10.0.118:1025
0-119,rtp://239.10.0.119:1025
0-120,rtp://239.10.0.120:1025
0-121,rtp://239.10.0.121:1025
0-122,rtp://239.10.0.122:1025
0-123,rtp://239.10.0.123:1025
0-124,rtp://239.10.0.124:1025
0-126,rtp://239.10.0.126:1025
0-127,rtp://239.10.0.127:1025
0-130,rtp://239.10.0.130:1025
0-136,rtp://239.10.0.136:1025
0-137,rtp://239.10.0.137:1025
0-139,rtp://239.10.0.139:1025
0-140,rtp://239.10.0.140:1025
0-141,rtp://239.10.0.141:1025
0-142,rtp://239.10.0.142:1025
0-143,rtp://239.10.0.143:1025
0-144,rtp://239.10.0.144:1025
0-145,rtp://239.10.0.145:1025
0-146,rtp://239.10.0.146:1025
0-147,rtp://239.10.0.147:1025
0-148,rtp://239.10.0.148:1025
0-149,rtp://239.10.0.149:1025
0-150,rtp://239.10.0.150:1025
0-151,rtp://239.10.0.151:1025
0-152,rtp://239.10.0.152:1025
0-153,rtp://239.10.0.153:1025
0-154,rtp://239.10.0.154:1025
0-155,rtp://239.10.0.155:1025
0-156,rtp://239.10.0.156:1025
0-157,rtp://239.10.0.157:1025
0-158,rtp://239.10.0.158:1025
0-159,rtp://239.10.0.159:1025
0-160,rtp://239.10.0.160:1025
0-161,rtp://239.10.0.161:1025
0-162,rtp://239.10.0.162:1025
0-163,rtp://239.10.0.163:1025
0-164,rtp://239.10.0.164:1025
0-165,rtp://239.10.0.165:1025
0-166,rtp://239.10.0.166:1025
0-167,rtp://239.10.0.167:1025
0-168,rtp://239.10.0.168:1025
0-169,rtp://239.10.0.169:1025
0-170,rtp://239.10.0.170:1025
0-171,rtp://239.10.0.171:1025
0-172,rtp://239.10.0.172:1025
0-173,rtp://239.10.0.173:1025
0-174,rtp://239.10.0.174:1025
0-175,rtp://239.10.0.175:1025
0-176,rtp://239.10.0.176:1025
0-177,rtp://239.10.0.177:1025
0-178,rtp://239.10.0.178:1025
0-184,rtp://239.10.0.184:1025
0-186,rtp://239.10.0.186:1025
0-187,rtp://239.10.0.187:1025
0-188,rtp://239.10.0.188:1025
0-189,rtp://239.10.0.189:1025
0-190,rtp://239.10.0.190:1025
0-191,rtp://239.10.0.191:1025
0-192,rtp://239.10.0.192:1025
0-193,rtp://239.10.0.193:1025
0-194,rtp://239.10.0.194:1025
0-195,rtp://239.10.0.195:1025
0-196,rtp://239.10.0.196:1025
0-197,rtp://239.10.0.197:1025
0-199,rtp://239.10.0.199:1025
0-201,rtp://239.10.0.201:1025
0-202,rtp://239.10.0.202:1025
0-214,rtp://239.10.0.214:1025
0-215,rtp://239.10.0.215:1025
0-216,rtp://239.10.0.216:1025
0-217,rtp://239.10.0.217:1025
0-219,rtp://239.10.0.219:1025
0-220,rtp://239.10.0.220:1025
0-221,rtp://239.10.0.221:1025
0-223,rtp://239.10.0.223:1025
0-224,rtp://239.10.0.224:1025
0-225,rtp://239.10.0.225:1025
0-226,rtp://239.10.0.226:1025
0-227,rtp://239.10.0.227:1025
0-228,rtp://239.10.0.228:1025
0-229,rtp://239.10.0.229:1025
0-230,rtp://239.10.0.230:1025
0-231,rtp://239.10.0.231:1025
0-233,rtp://239.10.0.233:1025
0-234,rtp://239.10.0.234:1025
0-235,rtp://239.10.0.235:1025
0-236,rtp://239.10.0.236:1025
0-237,rtp://239.10.0.237:1025
0-238,rtp://239.10.0.238:1025
0-239,rtp://239.10.0.239:1025
0-240,rtp://239.10.0.240:1025
0-241,rtp://239.10.0.241:1025
0-242,rtp://239.10.0.242:1025
0-243,rtp://239.10.0.243:1025
0-253,rtp://239.10.0.253:1025
0-254,rtp://239.10.0.254:1025

# ===== 网段: 239.11.0.x =====
# 已有IP: 81 个, 缺失IP: 173 个
# 规律: 固定端口 1025

0-15,rtp://239.11.0.15:1025
0-16,rtp://239.11.0.16:1025
0-17,rtp://239.11.0.17:1025
0-23,rtp://239.11.0.23:1025
0-26,rtp://239.11.0.26:1025
0-27,rtp://239.11.0.27:1025
0-28,rtp://239.11.0.28:1025
0-29,rtp://239.11.0.29:1025
0-30,rtp://239.11.0.30:1025
0-31,rtp://239.11.0.31:1025
0-32,rtp://239.11.0.32:1025
0-33,rtp://239.11.0.33:1025
0-34,rtp://239.11.0.34:1025
0-35,rtp://239.11.0.35:1025
0-36,rtp://239.11.0.36:1025
0-37,rtp://239.11.0.37:1025
0-38,rtp://239.11.0.38:1025
0-39,rtp://239.11.0.39:1025
0-40,rtp://239.11.0.40:1025
0-41,rtp://239.11.0.41:1025
0-42,rtp://239.11.0.42:1025
0-43,rtp://239.11.0.43:1025
0-44,rtp://239.11.0.44:1025
0-45,rtp://239.11.0.45:1025
0-46,rtp://239.11.0.46:1025
0-47,rtp://239.11.0.47:1025
0-48,rtp://239.11.0.48:1025
0-49,rtp://239.11.0.49:1025
0-50,rtp://239.11.0.50:1025
0-51,rtp://239.11.0.51:1025
0-52,rtp://239.11.0.52:1025
0-53,rtp://239.11.0.53:1025
0-54,rtp://239.11.0.54:1025
0-55,rtp://239.11.0.55:1025
0-56,rtp://239.11.0.56:1025
0-69,rtp://239.11.0.69:1025
0-70,rtp://239.11.0.70:1025
0-71,rtp://239.11.0.71:1025
0-72,rtp://239.11.0.72:1025
0-73,rtp://239.11.0.73:1025
0-74,rtp://239.11.0.74:1025
0-75,rtp://239.11.0.75:1025
0-76,rtp://239.11.0.76:1025
0-77,rtp://239.11.0.77:1025
0-79,rtp://239.11.0.79:1025
0-80,rtp://239.11.0.80:1025
0-82,rtp://239.11.0.82:1025
0-83,rtp://239.11.0.83:1025
0-84,rtp://239.11.0.84:1025
0-85,rtp://239.11.0.85:1025
0-86,rtp://239.11.0.86:1025
0-87,rtp://239.11.0.87:1025
0-88,rtp://239.11.0.88:1025
0-89,rtp://239.11.0.89:1025
0-90,rtp://239.11.0.90:1025
0-91,rtp://239.11.0.91:1025
0-92,rtp://239.11.0.92:1025
0-93,rtp://239.11.0.93:1025
0-95,rtp://239.11.0.95:1025
0-96,rtp://239.11.0.96:1025
0-97,rtp://239.11.0.97:1025
0-98,rtp://239.11.0.98:1025
0-99,rtp://239.11.0.99:1025
0-109,rtp://239.11.0.109:1025
0-110,rtp://239.11.0.110:1025
0-111,rtp://239.11.0.111:1025
0-112,rtp://239.11.0.112:1025
0-113,rtp://239.11.0.113:1025
0-114,rtp://239.11.0.114:1025
0-115,rtp://239.11.0.115:1025
0-116,rtp://239.11.0.116:1025
0-117,rtp://239.11.0.117:1025
0-118,rtp://239.11.0.118:1025
0-119,rtp://239.11.0.119:1025
0-120,rtp://239.11.0.120:1025
0-121,rtp://239.11.0.121:1025
0-122,rtp://239.11.0.122:1025
0-123,rtp://239.11.0.123:1025
0-124,rtp://239.11.0.124:1025
0-127,rtp://239.11.0.127:1025
0-132,rtp://239.11.0.132:1025
0-133,rtp://239.11.0.133:1025
0-134,rtp://239.11.0.134:1025
0-135,rtp://239.11.0.135:1025
0-136,rtp://239.11.0.136:1025
0-137,rtp://239.11.0.137:1025
0-139,rtp://239.11.0.139:1025
0-141,rtp://239.11.0.141:1025
0-143,rtp://239.11.0.143:1025
0-144,rtp://239.11.0.144:1025
0-145,rtp://239.11.0.145:1025
0-146,rtp://239.11.0.146:1025
0-147,rtp://239.11.0.147:1025
0-148,rtp://239.11.0.148:1025
0-149,rtp://239.11.0.149:1025
0-161,rtp://239.11.0.161:1025
0-162,rtp://239.11.0.162:1025
0-167,rtp://239.11.0.167:1025
0-168,rtp://239.11.0.168:1025
0-169,rtp://239.11.0.169:1025
0-170,rtp://239.11.0.170:1025
0-178,rtp://239.11.0.178:1025
0-181,rtp://239.11.0.181:1025
0-184,rtp://239.11.0.184:1025
0-186,rtp://239.11.0.186:1025
0-187,rtp://239.11.0.187:1025
0-188,rtp://239.11.0.188:1025
0-189,rtp://239.11.0.189:1025
0-190,rtp://239.11.0.190:1025
0-191,rtp://239.11.0.191:1025
0-192,rtp://239.11.0.192:1025
0-193,rtp://239.11.0.193:1025
0-194,rtp://239.11.0.194:1025
0-195,rtp://239.11.0.195:1025
0-196,rtp://239.11.0.196:1025
0-197,rtp://239.11.0.197:1025
0-198,rtp://239.11.0.198:1025
0-199,rtp://239.11.0.199:1025
0-200,rtp://239.11.0.200:1025
0-201,rtp://239.11.0.201:1025
0-202,rtp://239.11.0.202:1025
0-203,rtp://239.11.0.203:1025
0-204,rtp://239.11.0.204:1025
0-205,rtp://239.11.0.205:1025
0-206,rtp://239.11.0.206:1025
0-207,rtp://239.11.0.207:1025
0-208,rtp://239.11.0.208:1025
0-209,rtp://239.11.0.209:1025
0-210,rtp://239.11.0.210:1025
0-211,rtp://239.11.0.211:1025
0-212,rtp://239.11.0.212:1025
0-213,rtp://239.11.0.213:1025
0-214,rtp://239.11.0.214:1025
0-215,rtp://239.11.0.215:1025
0-216,rtp://239.11.0.216:1025
0-217,rtp://239.11.0.217:1025
0-218,rtp://239.11.0.218:1025
0-219,rtp://239.11.0.219:1025
0-220,rtp://239.11.0.220:1025
0-221,rtp://239.11.0.221:1025
0-222,rtp://239.11.0.222:1025
0-223,rtp://239.11.0.223:1025
0-224,rtp://239.11.0.224:1025
0-225,rtp://239.11.0.225:1025
0-226,rtp://239.11.0.226:1025
0-227,rtp://239.11.0.227:1025
0-228,rtp://239.11.0.228:1025
0-229,rtp://239.11.0.229:1025
0-230,rtp://239.11.0.230:1025
0-231,rtp://239.11.0.231:1025
0-232,rtp://239.11.0.232:1025
0-233,rtp://239.11.0.233:1025
0-234,rtp://239.11.0.234:1025
0-235,rtp://239.11.0.235:1025
0-236,rtp://239.11.0.236:1025
0-237,rtp://239.11.0.237:1025
0-238,rtp://239.11.0.238:1025
0-239,rtp://239.11.0.239:1025
0-240,rtp://239.11.0.240:1025
0-241,rtp://239.11.0.241:1025
0-242,rtp://239.11.0.242:1025
0-243,rtp://239.11.0.243:1025
0-244,rtp://239.11.0.244:1025
0-245,rtp://239.11.0.245:1025
0-246,rtp://239.11.0.246:1025
0-247,rtp://239.11.0.247:1025
0-248,rtp://239.11.0.248:1025
0-249,rtp://239.11.0.249:1025
0-250,rtp://239.11.0.250:1025
0-251,rtp://239.11.0.251:1025
0-252,rtp://239.11.0.252:1025
0-253,rtp://239.11.0.253:1025
0-254,rtp://239.11.0.254:1025

# ===== 网段: 239.20.0.x =====
# 已有IP: 156 个, 缺失IP: 98 个
# 规律: 多段线性
#   D∈[7,46] → -4×D+3404
#   D∈[50,50] → -5×D+3450
#   D∈[51,51] → 16×D+2400
#   D∈[52,52] → -24×D+4440
#   D∈[54,99] → -4×D+3400
#   D∈[101,101] → -502×D+52702
#   D∈[102,250] → 2×D+1798

0-1,rtp://239.20.0.1:3400
0-2,rtp://239.20.0.2:3396
0-3,rtp://239.20.0.3:3392
0-4,rtp://239.20.0.4:3388
0-5,rtp://239.20.0.5:3384
0-6,rtp://239.20.0.6:3380
0-17,rtp://239.20.0.17:3336
0-18,rtp://239.20.0.18:3332
0-19,rtp://239.20.0.19:3328
0-20,rtp://239.20.0.20:3324
0-21,rtp://239.20.0.21:3320
0-22,rtp://239.20.0.22:3316
0-23,rtp://239.20.0.23:3312
0-32,rtp://239.20.0.32:3276
0-33,rtp://239.20.0.33:3272
0-34,rtp://239.20.0.34:3268
0-35,rtp://239.20.0.35:3264
0-47,rtp://239.20.0.47:1892
0-48,rtp://239.20.0.48:1894
0-49,rtp://239.20.0.49:1896
0-53,rtp://239.20.0.53:1904
0-59,rtp://239.20.0.59:3164
0-61,rtp://239.20.0.61:3156
0-62,rtp://239.20.0.62:3152
0-65,rtp://239.20.0.65:3140
0-67,rtp://239.20.0.67:3132
0-69,rtp://239.20.0.69:3124
0-70,rtp://239.20.0.70:3120
0-71,rtp://239.20.0.71:3116
0-72,rtp://239.20.0.72:3112
0-73,rtp://239.20.0.73:3108
0-74,rtp://239.20.0.74:3104
0-75,rtp://239.20.0.75:3100
0-76,rtp://239.20.0.76:3096
0-77,rtp://239.20.0.77:3092
0-78,rtp://239.20.0.78:3088
0-79,rtp://239.20.0.79:3084
0-80,rtp://239.20.0.80:3080
0-81,rtp://239.20.0.81:3076
0-83,rtp://239.20.0.83:3068
0-84,rtp://239.20.0.84:3064
0-87,rtp://239.20.0.87:3052
0-100,rtp://239.20.0.100:1998
0-109,rtp://239.20.0.109:2016
0-110,rtp://239.20.0.110:2018
0-120,rtp://239.20.0.120:2038
0-126,rtp://239.20.0.126:2050
0-127,rtp://239.20.0.127:2052
0-129,rtp://239.20.0.129:2056
0-130,rtp://239.20.0.130:2058
0-132,rtp://239.20.0.132:2062
0-139,rtp://239.20.0.139:2076
0-140,rtp://239.20.0.140:2078
0-141,rtp://239.20.0.141:2080
0-142,rtp://239.20.0.142:2082
0-143,rtp://239.20.0.143:2084
0-146,rtp://239.20.0.146:2090
0-147,rtp://239.20.0.147:2092
0-148,rtp://239.20.0.148:2094
0-149,rtp://239.20.0.149:2096
0-150,rtp://239.20.0.150:2098
0-161,rtp://239.20.0.161:2120
0-165,rtp://239.20.0.165:2128
0-174,rtp://239.20.0.174:2146
0-187,rtp://239.20.0.187:2172
0-188,rtp://239.20.0.188:2174
0-189,rtp://239.20.0.189:2176
0-190,rtp://239.20.0.190:2178
0-204,rtp://239.20.0.204:2206
0-205,rtp://239.20.0.205:2208
0-206,rtp://239.20.0.206:2210
0-207,rtp://239.20.0.207:2212
0-209,rtp://239.20.0.209:2216
0-210,rtp://239.20.0.210:2218
0-211,rtp://239.20.0.211:2220
0-214,rtp://239.20.0.214:2226
0-215,rtp://239.20.0.215:2228
0-216,rtp://239.20.0.216:2230
0-217,rtp://239.20.0.217:2232
0-218,rtp://239.20.0.218:2234
0-219,rtp://239.20.0.219:2236
0-220,rtp://239.20.0.220:2238
0-221,rtp://239.20.0.221:2240
0-223,rtp://239.20.0.223:2244
0-224,rtp://239.20.0.224:2246
0-225,rtp://239.20.0.225:2248
0-226,rtp://239.20.0.226:2250
0-241,rtp://239.20.0.241:2280
0-242,rtp://239.20.0.242:2282
0-243,rtp://239.20.0.243:2284
0-244,rtp://239.20.0.244:2286
0-246,rtp://239.20.0.246:2290
0-248,rtp://239.20.0.248:2294
0-249,rtp://239.20.0.249:2296
0-251,rtp://239.20.0.251:2300
0-252,rtp://239.20.0.252:2302
0-253,rtp://239.20.0.253:2304
0-254,rtp://239.20.0.254:2306

# ===== 网段: 239.21.0.x =====
# 已有IP: 85 个, 缺失IP: 169 个
# 规律: 多段线性
#   D∈[10,110] → 4×D+3340
#   D∈[111,111] → 20×D+1580
#   D∈[112,112] → -12×D+5132
#   D∈[113,114] → 4×D+3340
#   D∈[115,115] → 8×D+2884
#   D∈[116,151] → 4×D+3344

0-1,rtp://239.21.0.1:3344
0-2,rtp://239.21.0.2:3348
0-3,rtp://239.21.0.3:3352
0-4,rtp://239.21.0.4:3356
0-5,rtp://239.21.0.5:3360
0-6,rtp://239.21.0.6:3364
0-7,rtp://239.21.0.7:3368
0-8,rtp://239.21.0.8:3372
0-9,rtp://239.21.0.9:3376
0-24,rtp://239.21.0.24:3436
0-25,rtp://239.21.0.25:3440
0-26,rtp://239.21.0.26:3444
0-34,rtp://239.21.0.34:3476
0-37,rtp://239.21.0.37:3488
0-38,rtp://239.21.0.38:3492
0-39,rtp://239.21.0.39:3496
0-40,rtp://239.21.0.40:3500
0-41,rtp://239.21.0.41:3504
0-42,rtp://239.21.0.42:3508
0-43,rtp://239.21.0.43:3512
0-44,rtp://239.21.0.44:3516
0-45,rtp://239.21.0.45:3520
0-50,rtp://239.21.0.50:3540
0-51,rtp://239.21.0.51:3544
0-52,rtp://239.21.0.52:3548
0-53,rtp://239.21.0.53:3552
0-54,rtp://239.21.0.54:3556
0-55,rtp://239.21.0.55:3560
0-56,rtp://239.21.0.56:3564
0-57,rtp://239.21.0.57:3568
0-58,rtp://239.21.0.58:3572
0-59,rtp://239.21.0.59:3576
0-60,rtp://239.21.0.60:3580
0-61,rtp://239.21.0.61:3584
0-62,rtp://239.21.0.62:3588
0-63,rtp://239.21.0.63:3592
0-64,rtp://239.21.0.64:3596
0-65,rtp://239.21.0.65:3600
0-66,rtp://239.21.0.66:3604
0-67,rtp://239.21.0.67:3608
0-68,rtp://239.21.0.68:3612
0-69,rtp://239.21.0.69:3616
0-95,rtp://239.21.0.95:3720
0-96,rtp://239.21.0.96:3724
0-97,rtp://239.21.0.97:3728
0-98,rtp://239.21.0.98:3732
0-99,rtp://239.21.0.99:3736
0-100,rtp://239.21.0.100:3740
0-102,rtp://239.21.0.102:3748
0-103,rtp://239.21.0.103:3752
0-105,rtp://239.21.0.105:3760
0-117,rtp://239.21.0.117:3812
0-121,rtp://239.21.0.121:3828
0-122,rtp://239.21.0.122:3832
0-129,rtp://239.21.0.129:3860
0-130,rtp://239.21.0.130:3864
0-131,rtp://239.21.0.131:3868
0-132,rtp://239.21.0.132:3872
0-135,rtp://239.21.0.135:3884
0-136,rtp://239.21.0.136:3888
0-137,rtp://239.21.0.137:3892
0-138,rtp://239.21.0.138:3896
0-145,rtp://239.21.0.145:3924
0-146,rtp://239.21.0.146:3928
0-149,rtp://239.21.0.149:3940
0-150,rtp://239.21.0.150:3944
0-152,rtp://239.21.0.152:3952
0-153,rtp://239.21.0.153:3956
0-154,rtp://239.21.0.154:3960
0-155,rtp://239.21.0.155:3964
0-156,rtp://239.21.0.156:3968
0-157,rtp://239.21.0.157:3972
0-158,rtp://239.21.0.158:3976
0-159,rtp://239.21.0.159:3980
0-160,rtp://239.21.0.160:3984
0-161,rtp://239.21.0.161:3988
0-162,rtp://239.21.0.162:3992
0-163,rtp://239.21.0.163:3996
0-164,rtp://239.21.0.164:4000
0-165,rtp://239.21.0.165:4004
0-166,rtp://239.21.0.166:4008
0-167,rtp://239.21.0.167:4012
0-168,rtp://239.21.0.168:4016
0-169,rtp://239.21.0.169:4020
0-170,rtp://239.21.0.170:4024
0-171,rtp://239.21.0.171:4028
0-172,rtp://239.21.0.172:4032
0-173,rtp://239.21.0.173:4036
0-174,rtp://239.21.0.174:4040
0-175,rtp://239.21.0.175:4044
0-176,rtp://239.21.0.176:4048
0-177,rtp://239.21.0.177:4052
0-178,rtp://239.21.0.178:4056
0-179,rtp://239.21.0.179:4060
0-180,rtp://239.21.0.180:4064
0-181,rtp://239.21.0.181:4068
0-182,rtp://239.21.0.182:4072
0-183,rtp://239.21.0.183:4076
0-184,rtp://239.21.0.184:4080
0-185,rtp://239.21.0.185:4084
0-186,rtp://239.21.0.186:4088
0-187,rtp://239.21.0.187:4092
0-188,rtp://239.21.0.188:4096
0-189,rtp://239.21.0.189:4100
0-190,rtp://239.21.0.190:4104
0-191,rtp://239.21.0.191:4108
0-192,rtp://239.21.0.192:4112
0-193,rtp://239.21.0.193:4116
0-194,rtp://239.21.0.194:4120
0-195,rtp://239.21.0.195:4124
0-196,rtp://239.21.0.196:4128
0-197,rtp://239.21.0.197:4132
0-198,rtp://239.21.0.198:4136
0-199,rtp://239.21.0.199:4140
0-200,rtp://239.21.0.200:4144
0-201,rtp://239.21.0.201:4148
0-202,rtp://239.21.0.202:4152
0-203,rtp://239.21.0.203:4156
0-204,rtp://239.21.0.204:4160
0-205,rtp://239.21.0.205:4164
0-206,rtp://239.21.0.206:4168
0-207,rtp://239.21.0.207:4172
0-208,rtp://239.21.0.208:4176
0-209,rtp://239.21.0.209:4180
0-210,rtp://239.21.0.210:4184
0-211,rtp://239.21.0.211:4188
0-212,rtp://239.21.0.212:4192
0-213,rtp://239.21.0.213:4196
0-214,rtp://239.21.0.214:4200
0-215,rtp://239.21.0.215:4204
0-216,rtp://239.21.0.216:4208
0-217,rtp://239.21.0.217:4212
0-218,rtp://239.21.0.218:4216
0-219,rtp://239.21.0.219:4220
0-220,rtp://239.21.0.220:4224
0-221,rtp://239.21.0.221:4228
0-222,rtp://239.21.0.222:4232
0-223,rtp://239.21.0.223:4236
0-224,rtp://239.21.0.224:4240
0-225,rtp://239.21.0.225:4244
0-226,rtp://239.21.0.226:4248
0-227,rtp://239.21.0.227:4252
0-228,rtp://239.21.0.228:4256
0-229,rtp://239.21.0.229:4260
0-230,rtp://239.21.0.230:4264
0-231,rtp://239.21.0.231:4268
0-232,rtp://239.21.0.232:4272
0-233,rtp://239.21.0.233:4276
0-234,rtp://239.21.0.234:4280
0-235,rtp://239.21.0.235:4284
0-236,rtp://239.21.0.236:4288
0-237,rtp://239.21.0.237:4292
0-238,rtp://239.21.0.238:4296
0-239,rtp://239.21.0.239:4300
0-240,rtp://239.21.0.240:4304
0-241,rtp://239.21.0.241:4308
0-242,rtp://239.21.0.242:4312
0-243,rtp://239.21.0.243:4316
0-244,rtp://239.21.0.244:4320
0-245,rtp://239.21.0.245:4324
0-246,rtp://239.21.0.246:4328
0-247,rtp://239.21.0.247:4332
0-248,rtp://239.21.0.248:4336
0-249,rtp://239.21.0.249:4340
0-250,rtp://239.21.0.250:4344
0-251,rtp://239.21.0.251:4348
0-252,rtp://239.21.0.252:4352
0-253,rtp://239.21.0.253:4356
0-254,rtp://239.21.0.254:4360

# ===== 总计补充: 624 个IP =====
