# 补充IP列表 - 原文件: 陕西电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.109.205.x =====
# 已有IP: 151 个, 缺失IP: 103 个
# 规律: 多段线性
#   D∈[2,8] → 8×D+9104
#   D∈[9,9] → -1168×D+18512
#   D∈[10,41] → 8×D+7928
#   D∈[42,42] → 16×D+7600
#   D∈[43,118] → 8×D+7936
#   D∈[119,119] → -512×D+69296
#   D∈[120,120] → 528×D+-54464
#   D∈[121,131] → 8×D+7936
#   D∈[139,139] → 5×D+8329
#   D∈[140,141] → 2×D+8746
#   D∈[150,150] → 5.555555555555555×D+8244.666666666666
#   D∈[158,158] → 3.5×D+8553.0
#   D∈[159,159] → 2×D+8790
#   D∈[162,162] → -70×D+20238
#   D∈[163,163] → 104×D+-7950
#   D∈[165,165] → 2×D+8676
#   D∈[170,170] → 121.2×D+-10992.0
#   D∈[171,177] → 2×D+9272
#   D∈[188,188] → -1.4545454545454546×D+9883.454545454546
#   D∈[189,189] → -8×D+11114
#   D∈[190,192] → 2×D+9224
#   D∈[194,194] → 15×D+6728
#   D∈[195,199] → 4×D+8862
#   D∈[211,211] → -39.5×D+17518.5
#   D∈[212,215] → 8×D+7496
#   D∈[216,216] → 486×D+-95274
#   D∈[217,226] → 4×D+8838

205-149,rtp://239.109.205.149:9434
205-151,rtp://239.109.205.151:9442
205-152,rtp://239.109.205.152:9446
205-153,rtp://239.109.205.153:9450
205-154,rtp://239.109.205.154:9454
205-155,rtp://239.109.205.155:9458
205-156,rtp://239.109.205.156:9462
205-157,rtp://239.109.205.157:9466
205-160,rtp://239.109.205.160:9478
205-161,rtp://239.109.205.161:9482
205-164,rtp://239.109.205.164:9494
205-166,rtp://239.109.205.166:9502
205-167,rtp://239.109.205.167:9506
205-168,rtp://239.109.205.168:9510
205-169,rtp://239.109.205.169:9514
205-178,rtp://239.109.205.178:9550
205-179,rtp://239.109.205.179:9554
205-180,rtp://239.109.205.180:9558
205-181,rtp://239.109.205.181:9562
205-182,rtp://239.109.205.182:9566
205-183,rtp://239.109.205.183:9570
205-184,rtp://239.109.205.184:9574
205-185,rtp://239.109.205.185:9578
205-186,rtp://239.109.205.186:9582
205-187,rtp://239.109.205.187:9586
205-193,rtp://239.109.205.193:9610
205-196,rtp://239.109.205.196:9646
205-200,rtp://239.109.205.200:9638
205-201,rtp://239.109.205.201:9642
205-202,rtp://239.109.205.202:9646
205-203,rtp://239.109.205.203:9650
205-204,rtp://239.109.205.204:9654
205-205,rtp://239.109.205.205:9658
205-206,rtp://239.109.205.206:9662
205-207,rtp://239.109.205.207:9666
205-208,rtp://239.109.205.208:9670
205-209,rtp://239.109.205.209:9674
205-210,rtp://239.109.205.210:9678
205-213,rtp://239.109.205.213:9200
205-218,rtp://239.109.205.218:9710
205-227,rtp://239.109.205.227:9746
205-228,rtp://239.109.205.228:9750
205-229,rtp://239.109.205.229:9754
205-230,rtp://239.109.205.230:9758
205-231,rtp://239.109.205.231:9762
205-232,rtp://239.109.205.232:9766
205-233,rtp://239.109.205.233:9770
205-234,rtp://239.109.205.234:9774
205-235,rtp://239.109.205.235:9778
205-236,rtp://239.109.205.236:9782
205-237,rtp://239.109.205.237:9786
205-238,rtp://239.109.205.238:9790
205-239,rtp://239.109.205.239:9794
205-240,rtp://239.109.205.240:9798
205-241,rtp://239.109.205.241:9802
205-242,rtp://239.109.205.242:9806
205-243,rtp://239.109.205.243:9810
205-244,rtp://239.109.205.244:9814
205-245,rtp://239.109.205.245:9818
205-246,rtp://239.109.205.246:9822
205-247,rtp://239.109.205.247:9826
205-248,rtp://239.109.205.248:9830
205-249,rtp://239.109.205.249:9834
205-250,rtp://239.109.205.250:9838
205-251,rtp://239.109.205.251:9842
205-252,rtp://239.109.205.252:9846
205-253,rtp://239.109.205.253:9850
205-254,rtp://239.109.205.254:9854

# ===== 网段: 239.110.205.x =====
# 已有IP: 61 个, 缺失IP: 193 个
# 规律: 多段线性
#   D∈[1,25] → 4×D+9746
#   D∈[30,30] → -12.4×D+10156.0
#   D∈[31,34] → 4×D+9664
#   D∈[36,36] → 25×D+8950
#   D∈[37,40] → 4×D+9706
#   D∈[41,42] → 8×D+9546
#   D∈[47,47] → 6.4×D+9613.2
#   D∈[48,56] → 4×D+9726
#   D∈[59,59] → -13.333333333333334×D+10696.666666666666
#   D∈[73,73] → -136.42857142857142×D+17959.285714285714
#   D∈[74,77] → 4×D+7708
#   D∈[78,78] → -52×D+12020
#   D∈[79,95] → -4×D+8276

205-2,rtp://239.110.205.2:9754
205-3,rtp://239.110.205.3:9758
205-4,rtp://239.110.205.4:9762
205-5,rtp://239.110.205.5:9766
205-19,rtp://239.110.205.19:9822
205-26,rtp://239.110.205.26:8172
205-27,rtp://239.110.205.27:8168
205-28,rtp://239.110.205.28:8164
205-29,rtp://239.110.205.29:8160
205-32,rtp://239.110.205.32:9792
205-33,rtp://239.110.205.33:9796
205-35,rtp://239.110.205.35:8136
205-43,rtp://239.110.205.43:8104
205-44,rtp://239.110.205.44:8100
205-45,rtp://239.110.205.45:8096
205-46,rtp://239.110.205.46:8092
205-51,rtp://239.110.205.51:9930
205-57,rtp://239.110.205.57:8048
205-58,rtp://239.110.205.58:8044
205-60,rtp://239.110.205.60:8036
205-61,rtp://239.110.205.61:8032
205-62,rtp://239.110.205.62:8028
205-63,rtp://239.110.205.63:8024
205-64,rtp://239.110.205.64:8020
205-65,rtp://239.110.205.65:8016
205-66,rtp://239.110.205.66:8012
205-67,rtp://239.110.205.67:8008
205-68,rtp://239.110.205.68:8004
205-69,rtp://239.110.205.69:8000
205-70,rtp://239.110.205.70:7996
205-71,rtp://239.110.205.71:7992
205-72,rtp://239.110.205.72:7988
205-75,rtp://239.110.205.75:8008
205-76,rtp://239.110.205.76:8012
205-96,rtp://239.110.205.96:7892
205-97,rtp://239.110.205.97:7888
205-98,rtp://239.110.205.98:7884
205-99,rtp://239.110.205.99:7880
205-100,rtp://239.110.205.100:7876
205-101,rtp://239.110.205.101:7872
205-102,rtp://239.110.205.102:7868
205-103,rtp://239.110.205.103:7864
205-104,rtp://239.110.205.104:7860
205-105,rtp://239.110.205.105:7856
205-106,rtp://239.110.205.106:7852
205-107,rtp://239.110.205.107:7848
205-108,rtp://239.110.205.108:7844
205-109,rtp://239.110.205.109:7840
205-110,rtp://239.110.205.110:7836
205-111,rtp://239.110.205.111:7832
205-112,rtp://239.110.205.112:7828
205-113,rtp://239.110.205.113:7824
205-114,rtp://239.110.205.114:7820
205-115,rtp://239.110.205.115:7816
205-116,rtp://239.110.205.116:7812
205-117,rtp://239.110.205.117:7808
205-118,rtp://239.110.205.118:7804
205-119,rtp://239.110.205.119:7800
205-120,rtp://239.110.205.120:7796
205-121,rtp://239.110.205.121:7792
205-122,rtp://239.110.205.122:7788
205-123,rtp://239.110.205.123:7784
205-124,rtp://239.110.205.124:7780
205-125,rtp://239.110.205.125:7776
205-126,rtp://239.110.205.126:7772
205-127,rtp://239.110.205.127:7768
205-128,rtp://239.110.205.128:7764
205-129,rtp://239.110.205.129:7760
205-130,rtp://239.110.205.130:7756
205-131,rtp://239.110.205.131:7752
205-132,rtp://239.110.205.132:7748
205-133,rtp://239.110.205.133:7744
205-134,rtp://239.110.205.134:7740
205-135,rtp://239.110.205.135:7736
205-136,rtp://239.110.205.136:7732
205-137,rtp://239.110.205.137:7728
205-138,rtp://239.110.205.138:7724
205-139,rtp://239.110.205.139:7720
205-140,rtp://239.110.205.140:7716
205-141,rtp://239.110.205.141:7712
205-142,rtp://239.110.205.142:7708
205-143,rtp://239.110.205.143:7704
205-144,rtp://239.110.205.144:7700
205-145,rtp://239.110.205.145:7696
205-146,rtp://239.110.205.146:7692
205-147,rtp://239.110.205.147:7688
205-148,rtp://239.110.205.148:7684
205-149,rtp://239.110.205.149:7680
205-150,rtp://239.110.205.150:7676
205-151,rtp://239.110.205.151:7672
205-152,rtp://239.110.205.152:7668
205-153,rtp://239.110.205.153:7664
205-154,rtp://239.110.205.154:7660
205-155,rtp://239.110.205.155:7656
205-156,rtp://239.110.205.156:7652
205-157,rtp://239.110.205.157:7648
205-158,rtp://239.110.205.158:7644
205-159,rtp://239.110.205.159:7640
205-160,rtp://239.110.205.160:7636
205-161,rtp://239.110.205.161:7632
205-162,rtp://239.110.205.162:7628
205-163,rtp://239.110.205.163:7624
205-164,rtp://239.110.205.164:7620
205-165,rtp://239.110.205.165:7616
205-166,rtp://239.110.205.166:7612
205-167,rtp://239.110.205.167:7608
205-168,rtp://239.110.205.168:7604
205-169,rtp://239.110.205.169:7600
205-170,rtp://239.110.205.170:7596
205-171,rtp://239.110.205.171:7592
205-172,rtp://239.110.205.172:7588
205-173,rtp://239.110.205.173:7584
205-174,rtp://239.110.205.174:7580
205-175,rtp://239.110.205.175:7576
205-176,rtp://239.110.205.176:7572
205-177,rtp://239.110.205.177:7568
205-178,rtp://239.110.205.178:7564
205-179,rtp://239.110.205.179:7560
205-180,rtp://239.110.205.180:7556
205-181,rtp://239.110.205.181:7552
205-182,rtp://239.110.205.182:7548
205-183,rtp://239.110.205.183:7544
205-184,rtp://239.110.205.184:7540
205-185,rtp://239.110.205.185:7536
205-186,rtp://239.110.205.186:7532
205-187,rtp://239.110.205.187:7528
205-188,rtp://239.110.205.188:7524
205-189,rtp://239.110.205.189:7520
205-190,rtp://239.110.205.190:7516
205-191,rtp://239.110.205.191:7512
205-192,rtp://239.110.205.192:7508
205-193,rtp://239.110.205.193:7504
205-194,rtp://239.110.205.194:7500
205-195,rtp://239.110.205.195:7496
205-196,rtp://239.110.205.196:7492
205-197,rtp://239.110.205.197:7488
205-198,rtp://239.110.205.198:7484
205-199,rtp://239.110.205.199:7480
205-200,rtp://239.110.205.200:7476
205-201,rtp://239.110.205.201:7472
205-202,rtp://239.110.205.202:7468
205-203,rtp://239.110.205.203:7464
205-204,rtp://239.110.205.204:7460
205-205,rtp://239.110.205.205:7456
205-206,rtp://239.110.205.206:7452
205-207,rtp://239.110.205.207:7448
205-208,rtp://239.110.205.208:7444
205-209,rtp://239.110.205.209:7440
205-210,rtp://239.110.205.210:7436
205-211,rtp://239.110.205.211:7432
205-212,rtp://239.110.205.212:7428
205-213,rtp://239.110.205.213:7424
205-214,rtp://239.110.205.214:7420
205-215,rtp://239.110.205.215:7416
205-216,rtp://239.110.205.216:7412
205-217,rtp://239.110.205.217:7408
205-218,rtp://239.110.205.218:7404
205-219,rtp://239.110.205.219:7400
205-220,rtp://239.110.205.220:7396
205-221,rtp://239.110.205.221:7392
205-222,rtp://239.110.205.222:7388
205-223,rtp://239.110.205.223:7384
205-224,rtp://239.110.205.224:7380
205-225,rtp://239.110.205.225:7376
205-226,rtp://239.110.205.226:7372
205-227,rtp://239.110.205.227:7368
205-228,rtp://239.110.205.228:7364
205-229,rtp://239.110.205.229:7360
205-230,rtp://239.110.205.230:7356
205-231,rtp://239.110.205.231:7352
205-232,rtp://239.110.205.232:7348
205-233,rtp://239.110.205.233:7344
205-234,rtp://239.110.205.234:7340
205-235,rtp://239.110.205.235:7336
205-236,rtp://239.110.205.236:7332
205-237,rtp://239.110.205.237:7328
205-238,rtp://239.110.205.238:7324
205-239,rtp://239.110.205.239:7320
205-240,rtp://239.110.205.240:7316
205-241,rtp://239.110.205.241:7312
205-242,rtp://239.110.205.242:7308
205-243,rtp://239.110.205.243:7304
205-244,rtp://239.110.205.244:7300
205-245,rtp://239.110.205.245:7296
205-246,rtp://239.110.205.246:7292
205-247,rtp://239.110.205.247:7288
205-248,rtp://239.110.205.248:7284
205-249,rtp://239.110.205.249:7280
205-250,rtp://239.110.205.250:7276
205-251,rtp://239.110.205.251:7272
205-252,rtp://239.110.205.252:7268
205-253,rtp://239.110.205.253:7264
205-254,rtp://239.110.205.254:7260

# ===== 网段: 239.111.205.x =====
# 已有IP: 116 个, 缺失IP: 138 个
# 规律: 固定端口 5140

205-1,rtp://239.111.205.1:5140
205-5,rtp://239.111.205.5:5140
205-38,rtp://239.111.205.38:5140
205-39,rtp://239.111.205.39:5140
205-54,rtp://239.111.205.54:5140
205-55,rtp://239.111.205.55:5140
205-56,rtp://239.111.205.56:5140
205-57,rtp://239.111.205.57:5140
205-58,rtp://239.111.205.58:5140
205-59,rtp://239.111.205.59:5140
205-76,rtp://239.111.205.76:5140
205-89,rtp://239.111.205.89:5140
205-90,rtp://239.111.205.90:5140
205-91,rtp://239.111.205.91:5140
205-92,rtp://239.111.205.92:5140
205-93,rtp://239.111.205.93:5140
205-105,rtp://239.111.205.105:5140
205-106,rtp://239.111.205.106:5140
205-107,rtp://239.111.205.107:5140
205-108,rtp://239.111.205.108:5140
205-109,rtp://239.111.205.109:5140
205-110,rtp://239.111.205.110:5140
205-111,rtp://239.111.205.111:5140
205-112,rtp://239.111.205.112:5140
205-113,rtp://239.111.205.113:5140
205-114,rtp://239.111.205.114:5140
205-115,rtp://239.111.205.115:5140
205-116,rtp://239.111.205.116:5140
205-117,rtp://239.111.205.117:5140
205-118,rtp://239.111.205.118:5140
205-119,rtp://239.111.205.119:5140
205-120,rtp://239.111.205.120:5140
205-121,rtp://239.111.205.121:5140
205-122,rtp://239.111.205.122:5140
205-123,rtp://239.111.205.123:5140
205-124,rtp://239.111.205.124:5140
205-125,rtp://239.111.205.125:5140
205-126,rtp://239.111.205.126:5140
205-127,rtp://239.111.205.127:5140
205-128,rtp://239.111.205.128:5140
205-129,rtp://239.111.205.129:5140
205-130,rtp://239.111.205.130:5140
205-131,rtp://239.111.205.131:5140
205-132,rtp://239.111.205.132:5140
205-135,rtp://239.111.205.135:5140
205-136,rtp://239.111.205.136:5140
205-137,rtp://239.111.205.137:5140
205-138,rtp://239.111.205.138:5140
205-139,rtp://239.111.205.139:5140
205-140,rtp://239.111.205.140:5140
205-141,rtp://239.111.205.141:5140
205-142,rtp://239.111.205.142:5140
205-143,rtp://239.111.205.143:5140
205-144,rtp://239.111.205.144:5140
205-145,rtp://239.111.205.145:5140
205-146,rtp://239.111.205.146:5140
205-147,rtp://239.111.205.147:5140
205-148,rtp://239.111.205.148:5140
205-149,rtp://239.111.205.149:5140
205-150,rtp://239.111.205.150:5140
205-151,rtp://239.111.205.151:5140
205-152,rtp://239.111.205.152:5140
205-153,rtp://239.111.205.153:5140
205-154,rtp://239.111.205.154:5140
205-155,rtp://239.111.205.155:5140
205-156,rtp://239.111.205.156:5140
205-157,rtp://239.111.205.157:5140
205-158,rtp://239.111.205.158:5140
205-159,rtp://239.111.205.159:5140
205-160,rtp://239.111.205.160:5140
205-161,rtp://239.111.205.161:5140
205-162,rtp://239.111.205.162:5140
205-163,rtp://239.111.205.163:5140
205-164,rtp://239.111.205.164:5140
205-165,rtp://239.111.205.165:5140
205-166,rtp://239.111.205.166:5140
205-167,rtp://239.111.205.167:5140
205-170,rtp://239.111.205.170:5140
205-172,rtp://239.111.205.172:5140
205-173,rtp://239.111.205.173:5140
205-174,rtp://239.111.205.174:5140
205-175,rtp://239.111.205.175:5140
205-179,rtp://239.111.205.179:5140
205-180,rtp://239.111.205.180:5140
205-181,rtp://239.111.205.181:5140
205-182,rtp://239.111.205.182:5140
205-184,rtp://239.111.205.184:5140
205-187,rtp://239.111.205.187:5140
205-188,rtp://239.111.205.188:5140
205-189,rtp://239.111.205.189:5140
205-190,rtp://239.111.205.190:5140
205-191,rtp://239.111.205.191:5140
205-192,rtp://239.111.205.192:5140
205-193,rtp://239.111.205.193:5140
205-194,rtp://239.111.205.194:5140
205-195,rtp://239.111.205.195:5140
205-196,rtp://239.111.205.196:5140
205-197,rtp://239.111.205.197:5140
205-198,rtp://239.111.205.198:5140
205-206,rtp://239.111.205.206:5140
205-207,rtp://239.111.205.207:5140
205-208,rtp://239.111.205.208:5140
205-209,rtp://239.111.205.209:5140
205-210,rtp://239.111.205.210:5140
205-211,rtp://239.111.205.211:5140
205-212,rtp://239.111.205.212:5140
205-213,rtp://239.111.205.213:5140
205-214,rtp://239.111.205.214:5140
205-215,rtp://239.111.205.215:5140
205-216,rtp://239.111.205.216:5140
205-217,rtp://239.111.205.217:5140
205-218,rtp://239.111.205.218:5140
205-219,rtp://239.111.205.219:5140
205-220,rtp://239.111.205.220:5140
205-221,rtp://239.111.205.221:5140
205-222,rtp://239.111.205.222:5140
205-223,rtp://239.111.205.223:5140
205-224,rtp://239.111.205.224:5140
205-225,rtp://239.111.205.225:5140
205-226,rtp://239.111.205.226:5140
205-227,rtp://239.111.205.227:5140
205-228,rtp://239.111.205.228:5140
205-229,rtp://239.111.205.229:5140
205-230,rtp://239.111.205.230:5140
205-231,rtp://239.111.205.231:5140
205-232,rtp://239.111.205.232:5140
205-233,rtp://239.111.205.233:5140
205-234,rtp://239.111.205.234:5140
205-235,rtp://239.111.205.235:5140
205-236,rtp://239.111.205.236:5140
205-237,rtp://239.111.205.237:5140
205-238,rtp://239.111.205.238:5140
205-239,rtp://239.111.205.239:5140
205-240,rtp://239.111.205.240:5140
205-241,rtp://239.111.205.241:5140
205-246,rtp://239.111.205.246:5140
205-247,rtp://239.111.205.247:5140
205-254,rtp://239.111.205.254:5140

# ===== 网段: 239.112.205.x =====
# 已有IP: 153 个, 缺失IP: 101 个
# 规律: 固定端口 5140

205-1,rtp://239.112.205.1:5140
205-3,rtp://239.112.205.3:5140
205-5,rtp://239.112.205.5:5140
205-6,rtp://239.112.205.6:5140
205-8,rtp://239.112.205.8:5140
205-25,rtp://239.112.205.25:5140
205-71,rtp://239.112.205.71:5140
205-75,rtp://239.112.205.75:5140
205-76,rtp://239.112.205.76:5140
205-77,rtp://239.112.205.77:5140
205-79,rtp://239.112.205.79:5140
205-80,rtp://239.112.205.80:5140
205-81,rtp://239.112.205.81:5140
205-82,rtp://239.112.205.82:5140
205-84,rtp://239.112.205.84:5140
205-87,rtp://239.112.205.87:5140
205-89,rtp://239.112.205.89:5140
205-92,rtp://239.112.205.92:5140
205-93,rtp://239.112.205.93:5140
205-94,rtp://239.112.205.94:5140
205-95,rtp://239.112.205.95:5140
205-96,rtp://239.112.205.96:5140
205-97,rtp://239.112.205.97:5140
205-98,rtp://239.112.205.98:5140
205-99,rtp://239.112.205.99:5140
205-100,rtp://239.112.205.100:5140
205-101,rtp://239.112.205.101:5140
205-102,rtp://239.112.205.102:5140
205-103,rtp://239.112.205.103:5140
205-104,rtp://239.112.205.104:5140
205-105,rtp://239.112.205.105:5140
205-106,rtp://239.112.205.106:5140
205-107,rtp://239.112.205.107:5140
205-108,rtp://239.112.205.108:5140
205-109,rtp://239.112.205.109:5140
205-110,rtp://239.112.205.110:5140
205-111,rtp://239.112.205.111:5140
205-112,rtp://239.112.205.112:5140
205-113,rtp://239.112.205.113:5140
205-114,rtp://239.112.205.114:5140
205-115,rtp://239.112.205.115:5140
205-117,rtp://239.112.205.117:5140
205-120,rtp://239.112.205.120:5140
205-121,rtp://239.112.205.121:5140
205-122,rtp://239.112.205.122:5140
205-123,rtp://239.112.205.123:5140
205-124,rtp://239.112.205.124:5140
205-125,rtp://239.112.205.125:5140
205-126,rtp://239.112.205.126:5140
205-128,rtp://239.112.205.128:5140
205-129,rtp://239.112.205.129:5140
205-130,rtp://239.112.205.130:5140
205-131,rtp://239.112.205.131:5140
205-132,rtp://239.112.205.132:5140
205-133,rtp://239.112.205.133:5140
205-134,rtp://239.112.205.134:5140
205-139,rtp://239.112.205.139:5140
205-140,rtp://239.112.205.140:5140
205-145,rtp://239.112.205.145:5140
205-146,rtp://239.112.205.146:5140
205-149,rtp://239.112.205.149:5140
205-150,rtp://239.112.205.150:5140
205-151,rtp://239.112.205.151:5140
205-152,rtp://239.112.205.152:5140
205-153,rtp://239.112.205.153:5140
205-154,rtp://239.112.205.154:5140
205-156,rtp://239.112.205.156:5140
205-157,rtp://239.112.205.157:5140
205-159,rtp://239.112.205.159:5140
205-160,rtp://239.112.205.160:5140
205-161,rtp://239.112.205.161:5140
205-162,rtp://239.112.205.162:5140
205-163,rtp://239.112.205.163:5140
205-164,rtp://239.112.205.164:5140
205-165,rtp://239.112.205.165:5140
205-167,rtp://239.112.205.167:5140
205-170,rtp://239.112.205.170:5140
205-171,rtp://239.112.205.171:5140
205-172,rtp://239.112.205.172:5140
205-173,rtp://239.112.205.173:5140
205-187,rtp://239.112.205.187:5140
205-195,rtp://239.112.205.195:5140
205-199,rtp://239.112.205.199:5140
205-212,rtp://239.112.205.212:5140
205-218,rtp://239.112.205.218:5140
205-230,rtp://239.112.205.230:5140
205-232,rtp://239.112.205.232:5140
205-233,rtp://239.112.205.233:5140
205-238,rtp://239.112.205.238:5140
205-243,rtp://239.112.205.243:5140
205-244,rtp://239.112.205.244:5140
205-245,rtp://239.112.205.245:5140
205-246,rtp://239.112.205.246:5140
205-247,rtp://239.112.205.247:5140
205-248,rtp://239.112.205.248:5140
205-249,rtp://239.112.205.249:5140
205-250,rtp://239.112.205.250:5140
205-251,rtp://239.112.205.251:5140
205-252,rtp://239.112.205.252:5140
205-253,rtp://239.112.205.253:5140
205-254,rtp://239.112.205.254:5140

# ===== 总计补充: 535 个IP =====
